Algoritmo de Entropia Cruzada com a funcao de Ackley

Time, Iteracoes, x1, x2
6.9813, 27, -3.1018922919103493e-16, -8.660823163573954e-17
8.0127, 30, -1.9035137070868394e-15, -3.202165420837767e-17
6.9818, 26, -4.685295117763697e-16, -8.026508522694755e-17
7.0265, 30, -1.910011110108588e-15, 4.101156139561783e-18
6.9823, 27, -1.8876638129174684e-15, 9.099708517809212e-17
7.0131, 26, -2.647917821165712e-16, 5.209098351144173e-18
7.9799, 27, -5.69821591505254e-16, -1.0830382296188524e-16
7.0146, 28, -1.9163179726024323e-15, -1.0901725963590584e-16
6.9815, 27, -3.9354504055560244e-16, 1.0668734559500907e-16
7.0138, 29, -1.9119193653074347e-15, 5.575724438710376e-17
5.9848, 25, -2.94454752887591e-16, -6.192108471677129e-17
7.9776, 27, -1.8976889183289647e-15, -4.979172397593357e-17
5.9838, 26, -1.4526153914508243e-16, -9.951751326746112e-17
6.014, 25, -4.457358316206351e-16, -1.9362202004402183e-18
6.9853, 28, -1.6248045779428887e-15, 1.0620313799851824e-16
8.0078, 27, -3.1042223627360185e-16, 5.5462604116116366e-17
5.9844, 26, -2.45455909352713e-16, -3.165637592701227e-17
6.0191, 24, -6.439997910011045e-16, -1.483383754879735e-16
5.9835, 24, -4.845064620556482e-16, 7.844989165282274e-17
5.9837, 26, -6.7323886385852e-16, 2.3145995948364027e-17
5.9849, 26, -2.3436032662745137e-16, -7.291041069179868e-17
7.0126, 29, -1.929826506471814e-15, 8.2955674909241e-17
6.9817, 26, -2.242189473904949e-16, 5.904646092643264e-18
8.0078, 27, -9.905985332046811e-17, 3.53292364660853e-17
6.9816, 26, -1.0879238432215833e-15, 8.216837779353127e-17
6.0164, 25, -1.4106777056045082e-16, -9.740684223657404e-17
7.0146, 26, -1.8732117108684112e-15, -1.0984004459127692e-16
7.0257, 28, -1.248504516562699e-15, -1.8043525166057528e-17
6.9812, 26, -1.8518351438129495e-15, 1.6268560636537196e-16
5.9835, 25, -2.905759234537308e-16, -6.182418512850937e-17
7.0168, 26, -1.3042555510148752e-16, 7.872965995573079e-17
7.0128, 27, -2.389074508613623e-16, 4.3644042781425214e-17
7.0134, 27, -2.97583351787729e-16, 8.462564972347466e-17
7.978, 27, -1.6370631792243933e-16, 1.6456164846078262e-17
5.9843, 26, -1.0167661204124033e-16, 1.1078042843907589e-16
7.0113, 28, -1.9336283341975712e-15, -3.3372398521809374e-18
6.9818, 26, -2.1337163660169988e-16, -3.662731456628395e-17
7.0128, 26, -2.4367838173793014e-16, 1.6310351182719124e-18
6.9822, 26, -7.309035441205432e-16, 2.3868917585842895e-17
7.0258, 28, -1.7743029220689326e-15, -2.443091955765809e-16
7.0134, 27, -2.2002054839397672e-16, -7.218740847503525e-17
7.0126, 25, -3.8718113226659376e-16, 4.371257397751489e-17
6.9828, 27, -1.5287860500051733e-16, -5.955561321719739e-17
6.026, 26, -7.438346959653931e-16, -9.990292979902863e-17
6.981, 26, -1.874606051315802e-16, 4.7496652148621896e-17
7.9792, 27, -2.691323457231868e-16, -1.2254756387902496e-17
6.9823, 26, -1.7811491368851207e-15, 5.924913565130736e-17
6.0161, 26, -1.845023350213888e-16, 3.751699550256286e-17
7.0181, 25, 6.277723261267467e-17, -1.0554889231763731e-16
7.0122, 25, -3.8641864429038503e-16, -2.8825750129361355e-17
6.9808, 27, -2.7596471681115664e-16, 2.2834752239912e-17
12.9654, 50, 5.1634840452742985e-05, -8.356242553224307e-05
6.9802, 27, -1.814237639718239e-15, 1.1984373434630687e-16
7.9791, 28, -1.9079412661559157e-15, 1.3499529948745496e-16
7.017, 26, -4.885208144608207e-16, -3.170250142826226e-18
7.0199, 26, -1.4388816328958174e-15, 3.302868890456385e-16
6.9801, 30, -1.9154647700161812e-15, -5.451708137048118e-17
6.9816, 26, -1.505236778517751e-16, 7.806354718022139e-19
6.0163, 27, -1.2711359428827507e-15, -1.6854507720761447e-16
6.0156, 27, -6.873436320431491e-16, 1.0156409640162044e-16
7.012, 26, -3.9099504937474347e-16, -5.472869366152092e-17
6.981, 28, -1.9034652225097572e-15, -9.658766494801668e-17
6.9802, 28, -1.8931862922362497e-15, -1.9856687900526322e-16
7.0173, 25, -1.844865889694676e-16, 5.4791582885690377e-17
8.0179, 36, 1.8098745793880274e-09, 8.07615144999856e-09
6.9818, 28, -2.436857786863512e-16, 4.75352646564586e-18
7.0135, 26, 2.772609701351045e-17, 1.6721819075477538e-17
6.0171, 26, -1.7204173557360738e-15, -5.947475326507397e-17
6.9807, 27, -9.986589364266604e-16, 7.888962307713607e-17
6.9818, 29, -1.8477519142592037e-15, -2.1152775759893244e-18
7.9765, 26, -2.717149675693311e-16, -5.397901988112018e-17
5.984, 25, -3.630107037983706e-16, 2.9121666645345415e-17
7.9775, 28, -1.908353593216209e-15, -1.290537610378088e-17
6.0181, 26, -3.3791502438526356e-16, -1.6899036015889327e-18
6.0145, 26, -2.4328025767166834e-16, -1.3025091710282555e-17
6.9814, 25, -3.946613632778562e-17, 1.1320998476630308e-16
6.0144, 26, -2.304729812337682e-16, -8.750806514407004e-17
